"Age, sex, and marital status",2020,,,,,,,,,,,2021,
,Feb.,Mar.,Apr.,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Jan.,Feb.
AGE AND SEX,,,,,,,,,,,,,
"Total, 16 years and over",3.5,4.4,14.8,13.3,11.1,10.2,8.4,7.8,6.9,6.7,6.7,6.3,6.2
16 to 19 years,11.5,14.1,32.1,29.6,22.6,19.1,16.4,16.3,14,13.9,16,14.8,13.9
16 to 17 years,10.7,16.3,28,29,23.2,17.7,14.8,17.2,14.1,14.9,14.5,15.9,14.8
18 to 19 years,12.2,12.8,34.2,29.5,22.3,20,17.6,15.8,14.1,13.4,17,14.2,13.7
20 years and over,3.2,4,14.2,12.7,10.7,9.9,8.1,7.5,6.6,6.4,6.3,6,5.9
20 to 24 years,6.3,8.6,25.6,23.1,19.6,18.1,14.1,12.5,10.9,10.7,11.2,9.7,9.6
25 years and over,2.9,3.5,13.1,11.6,9.7,9,7.5,7,6.2,6,5.8,5.7,5.6
25 to 54 years,3,3.6,12.8,11.5,9.7,9.1,7.5,7.1,6.4,6.1,5.8,5.8,5.7
25 to 34 years,3.7,4.2,14.6,13.4,11.7,11.3,9.6,8.6,7.3,7,6.6,6.8,6.4
35 to 44 years,2.7,3.4,11.5,10.1,9,8,6.4,6.2,5.8,5.6,5.5,5.7,5.7
45 to 54 years,2.5,3.2,12.3,10.7,8.4,7.8,6.2,6.4,6,5.5,5.3,4.9,4.9
55 years and over,2.6,3.3,13.6,11.8,9.6,8.7,7.6,6.6,5.5,5.8,6,5.3,5.3
,,,,,,,,,,,,,
"Men, 16 years and over",3.5,4.4,13.6,12.2,10.5,9.8,8.3,7.7,7,6.9,6.7,6.4,6.3
16 to 19 years,11.8,14.5,28.4,28.2,22.7,22.1,17.8,17.3,15.6,15.1,15.5,15.7,16.6
16 to 17 years,12,16.1,21.4,26.7,18.6,23,14.5,18.3,16.1,14.5,15.3,15,15.7
18 to 19 years,12.1,13.6,30.7,28.8,25.1,21.3,19.9,16.8,15.4,15.5,15.8,16,17.6
20 years and over,3.2,4.1,13.1,11.6,10.2,9.4,8,7.3,6.7,6.6,6.4,6,6
20 to 24 years,6.3,8.9,23.3,22.3,18.8,17.5,14.3,12.9,11.8,11.9,12.1,10,10.1
25 years and over,3,3.5,12.1,10.5,9.3,8.5,7.3,6.8,6.2,6.2,5.8,5.8,5.6
25 to 54 years,3,3.5,12,10.6,9.4,8.8,7.4,7,6.5,6.3,5.8,5.9,5.6
25 to 34 years,3.8,4.2,14.2,12.9,11.7,11.6,9.7,8.7,7.8,7.7,6.6,7,6.6
35 to 44 years,2.7,3.2,10.4,9.4,8.8,7.8,6.3,6.1,5.7,5.6,5.7,5.8,5.6
45 to 54 years,2.4,3,11.4,9.2,7.6,6.7,5.7,6,6,5.5,5,4.7,4.6
55 years and over,2.8,3.5,12.1,10.2,8.8,7.9,7.2,6.2,5.2,5.9,5.9,5.4,5.6
,,,,,,,,,,,,,
"Women, 16 years and over",3.4,4.4,16.1,14.5,11.7,10.6,8.6,8,6.8,6.4,6.7,6.3,6.1
16 to 19 years,11.2,13.8,36.3,31.1,22.6,16.2,15,15.3,12.5,12.8,16.5,14,11.2
16 to 17 years,9.7,16.5,33.3,31,27,12.8,14.9,16.2,12.1,15.2,13.7,16.8,13.9
18 to 19 years,12.2,12,38.7,30.3,19.4,18.6,15.2,14.8,12.8,11.2,18.2,12.3,9.7
20 years and over,3.1,4,15.5,13.9,11.3,10.4,8.3,7.7,6.5,6.2,6.3,6,5.9
20 to 24 years,6.2,8.2,27.9,23.9,20.4,18.7,13.9,12.1,10,9.4,10.1,9.5,9.1
25 years and over,2.8,3.5,14.2,12.8,10.3,9.5,7.7,7.3,6.1,5.8,5.9,5.6,5.5
25 to 54 years,3,3.7,13.8,12.5,10.1,9.4,7.6,7.3,6.3,5.8,5.8,5.8,5.7
25 to 34 years,3.6,4.2,15,14,11.6,10.9,9.4,8.6,6.9,6.2,6.6,6.6,6.2
35 to 44 years,2.8,3.6,12.7,11,9.3,8.3,6.5,6.3,6,5.6,5.2,5.6,5.7
45 to 54 years,2.6,3.3,13.4,12.4,9.3,8.9,6.8,6.8,5.9,5.5,5.7,5.1,5.3
55 years and over,2.4,3.1,15.4,13.6,10.6,9.6,8,7.2,5.8,5.8,6.1,5.1,5.1
,,,,,,,,,,,,,
MARITAL STATUS,,,,,,,,,,,,,
"Married men, spouse present",1.9,2.3,9.6,8.2,6.9,6.1,5,4.8,4.1,4.1,4,3.9,3.8
"Married women, spouse present",2.2,3,13.1,11.5,8.9,8.6,6.4,5.9,4.8,4.5,4.7,4.4,4.3
