Month,Total,"Men, 20 years and over","Women, 20 years and over",16 to 19 years old,White,Black or African American,Asian,Hispanic or Latino
Feb 2001,"6,089","2,664","2,309","1,116","4,484","1,260",,"1,044"
Mar 2001,"6,141","2,723","2,299","1,119","4,452","1,365",,"1,077"
Apr 2001,"6,271","2,811","2,349","1,111","4,618","1,305",,"1,098"
May 2001,"6,226","2,809","2,374","1,042","4,542","1,289",,"1,077"
June 2001,"6,484","2,914","2,440","1,130","4,743","1,368",,"1,135"
July 2001,"6,583","2,952","2,485","1,145","4,825","1,318",,"1,075"
Aug 2001,"7,042","3,182","2,685","1,175","5,108","1,501",,"1,131"
Sept 2001,"7,142","3,152","2,803","1,187","5,174","1,469",,"1,164"
Oct 2001,"7,694","3,491","2,947","1,256","5,649","1,560",,"1,252"
Nov 2001,"8,003","3,683","3,066","1,253","5,900","1,594",,"1,283"
Dec 2001,"8,258","3,735","3,212","1,311","6,086","1,663",,"1,367"
Jan 2002,"8,182","3,808","3,116","1,258","6,077","1,648",,"1,376"
Feb 2002,"8,215","3,801","3,190","1,224","6,044","1,636",,"1,244"
Mar 2002,"8,304","3,815","3,193","1,296","6,027","1,728",,"1,325"
Apr 2002,"8,599","3,933","3,393","1,273","6,239","1,782",,"1,438"
May 2002,"8,399","3,827","3,316","1,256","6,157","1,704",,"1,256"
June 2002,"8,393","3,903","3,221","1,269","6,131","1,730",,"1,314"
July 2002,"8,390","3,870","3,246","1,273","6,221","1,607",,"1,331"
Aug 2002,"8,304","3,853","3,182","1,269","6,130","1,623",,"1,350"
Sept 2002,"8,251","3,849","3,150","1,251","6,103","1,623",,"1,337"
Oct 2002,"8,307","3,917","3,249","1,140","6,163","1,624",,"1,421"
Nov 2002,"8,520","4,050","3,192","1,278","6,167","1,776",,"1,408"
Dec 2002,"8,640","4,130","3,265","1,246","6,167","1,883",,"1,438"
Jan 2003,"8,520","4,111","3,142","1,267","6,194","1,728",330,"1,474"
Feb 2003,"8,618","4,074","3,282","1,262","6,167","1,767",348,"1,442"
