Month,Total nonfarm,Total private,Mining and logging,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Utilities,Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government,Federal government,State government,Local government
Feb 2001,"132,789","111,883",605,"6,841","17,028","5,798.40","15,384.10","4,425.10",599.8,"3,716","7,867","16,851","15,573","11,997","5,198","20,906","2,752","4,839","13,315"
Mar 2001,"132,747","111,802",609,"6,862","16,938","5,778.50","15,348.70","4,431.10",599.7,"3,718","7,885","16,802","15,629","12,000","5,201","20,945","2,755","4,852","13,338"
Apr 2001,"132,463","111,471",608,"6,844","16,802","5,762.10","15,264.10","4,412.10",598.9,"3,686","7,889","16,675","15,671","12,040","5,219","20,992","2,755","4,856","13,381"
May 2001,"132,410","111,381",609,"6,849","16,661","5,747.50","15,259.20","4,408.10",599.6,"3,663","7,900","16,632","15,747","12,068","5,238","21,029","2,758","4,875","13,396"
June 2001,"132,299","111,162",610,"6,840","16,515","5,728.10","15,262.90","4,387.10",600.6,"3,642","7,905","16,566","15,779","12,076","5,250","21,137","2,780","4,902","13,455"
July 2001,"132,177","110,992",610,"6,845","16,382","5,716.10","15,207.40","4,390.30",599.8,"3,619","7,892","16,512","15,840","12,110","5,268","21,185","2,783","4,921","13,481"
Aug 2001,"132,028","110,810",608,"6,827","16,232","5,709.90","15,212.20","4,381.80",599.2,"3,600","7,916","16,449","15,903","12,093","5,279","21,218","2,780","4,934","13,504"
Sept 2001,"131,771","110,529",607,"6,813","16,117","5,694.40","15,203.40","4,322.30",599,"3,583","7,915","16,362","15,959","12,061","5,293","21,242","2,770","4,955","13,517"
Oct 2001,"131,454","110,179",602,"6,804","15,972","5,682.70","15,174.30","4,288.60",597.9,"3,558","7,926","16,261","15,999","12,015","5,298","21,275","2,763","4,962","13,550"
Nov 2001,"131,142","109,816",600,"6,784","15,825","5,662.90","15,150.70","4,241.80",599.8,"3,536","7,940","16,133","16,044","11,985","5,314","21,326","2,759","4,977","13,590"
Dec 2001,"130,982","109,627",598,"6,785","15,711","5,646.30","15,101.20","4,227.20",598.8,"3,521","7,934","16,107","16,097","11,967","5,333","21,355","2,751","4,993","13,611"
Jan 2002,"130,852","109,475",599,"6,775","15,587","5,640.40","15,065.20","4,205.50",599,"3,494","7,939","16,072","16,150","12,006","5,343","21,377","2,756","5,005","13,616"
Feb 2002,"130,736","109,346",595,"6,766","15,515","5,626.50","15,074.50","4,211.60",598.3,"3,471","7,931","16,042","16,199","11,962","5,354","21,390","2,757","4,997","13,636"
Mar 2002,"130,717","109,286",588,"6,755","15,443","5,618.70","15,074.20","4,201.80",598.4,"3,454","7,929","16,057","16,240","11,965","5,362","21,431","2,755","5,011","13,665"
